                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.537,                 1.5293,                 1.2408,                0.98019,                0.97668,                0.99143,                0.62461,                  1.211,                0.76172,                 1.0868,             0.00066323,             0.00066323,             0.00066323
                      2,                  1.074,                0.80117,                 1.0451,                0.99671,                0.99586,                  0.995,                0.68599,                 1.0814,                0.67819,                  1.078,              0.0013167,              0.0013167,              0.0013167
                      3,                0.97464,                 0.6789,                 1.0128,                0.98537,                      1,                 0.9947,                0.67959,                 1.0445,                 0.6274,                 1.0806,               0.001957,               0.001957,               0.001957
                      4,                0.93056,                 0.6244,                 1.0048,                0.99021,                0.99795,                0.99483,                 0.7085,                0.95165,                0.57252,                 1.0667,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.8635,                0.57852,                0.98463,                0.99805,                0.99671,                  0.995,                0.69659,                  1.004,                0.51417,                 1.1021,              0.0019208,              0.0019208,              0.0019208
                      6,                0.83497,                0.54339,                0.97165,                0.99566,                      1,                  0.995,                0.72064,                0.95173,                0.47214,                 1.0625,               0.001901,               0.001901,               0.001901
                      7,                  0.806,                0.52879,                0.96463,                 0.9996,                0.99671,                  0.995,                0.72846,                0.93256,                0.46525,                 1.0551,              0.0018812,              0.0018812,              0.0018812
                      8,                0.78662,                0.51065,                0.95757,                0.98627,                0.99671,                0.99257,                0.70379,                0.98954,                0.46579,                 1.0898,              0.0018614,              0.0018614,              0.0018614
                      9,                0.75433,                0.48852,                0.94282,                0.99612,                      1,                  0.995,                0.72964,                0.90938,                0.43486,                 1.0429,              0.0018416,              0.0018416,              0.0018416
                     10,                0.75402,                0.48184,                0.94602,                0.99972,                      1,                  0.995,                0.72343,                 0.9519,                0.42697,                 1.0772,              0.0018218,              0.0018218,              0.0018218
                     11,                0.73595,                0.47097,                0.94285,                0.99959,                      1,                  0.995,                 0.7286,                0.91164,                0.43529,                 1.0454,               0.001802,               0.001802,               0.001802
                     12,                 0.7217,                0.46068,                0.93821,                 0.9996,                      1,                  0.995,                0.72847,                0.88112,                0.44308,                 1.0353,              0.0017822,              0.0017822,              0.0017822
                     13,                0.68954,                0.44767,                0.93097,                 0.9994,                      1,                  0.995,                0.73878,                0.92797,                0.41263,                 1.0857,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.7003,                0.44175,                0.93258,                 0.9997,                      1,                  0.995,                 0.7413,                0.91318,                0.41581,                 1.0641,              0.0017426,              0.0017426,              0.0017426
