                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.537,                 1.5293,                 1.2408,                 0.9802,                 0.9769,                0.99143,                0.62457,                 1.2031,                0.75964,                 1.0822,             0.00066323,             0.00066323,             0.00066323
                      2,                  1.074,                0.80117,                 1.0451,                0.99671,                0.99586,                  0.995,                0.68597,                   1.08,                0.67882,                 1.0759,              0.0013167,              0.0013167,              0.0013167
                      3,                0.97464,                 0.6789,                 1.0128,                0.98537,                      1,                 0.9947,                0.67961,                 1.0475,                0.63101,                 1.0843,               0.001957,               0.001957,               0.001957
                      4,                0.93056,                 0.6244,                 1.0048,                0.99021,                0.99795,                0.99483,                0.70836,                0.94483,                0.57159,                 1.0631,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.8635,                0.57852,                0.98463,                0.99805,                0.99671,                  0.995,                0.69449,                 1.0057,                0.51627,                 1.1011,              0.0019208,              0.0019208,              0.0019208
                      6,                0.83497,                0.54339,                0.97165,                0.99566,                      1,                  0.995,                0.72063,                0.94929,                0.46968,                 1.0609,               0.001901,               0.001901,               0.001901
                      7,                  0.806,                0.52879,                0.96463,                 0.9996,                0.99671,                  0.995,                0.72814,                0.93036,                 0.4653,                 1.0527,              0.0018812,              0.0018812,              0.0018812
                      8,                0.78662,                0.51065,                0.95757,                0.98627,                0.99671,                0.99252,                0.70373,                0.98308,                0.46543,                 1.0866,              0.0018614,              0.0018614,              0.0018614
                      9,                0.75433,                0.48852,                0.94282,                0.99612,                      1,                  0.995,                0.72949,                0.91802,                0.43571,                  1.047,              0.0018416,              0.0018416,              0.0018416
                     10,                0.75402,                0.48184,                0.94602,                0.99972,                      1,                  0.995,                0.72376,                0.95087,                0.42688,                 1.0767,              0.0018218,              0.0018218,              0.0018218
                     11,                0.73595,                0.47097,                0.94285,                0.99959,                      1,                  0.995,                0.72867,                0.90749,                0.43719,                  1.042,               0.001802,               0.001802,               0.001802
                     12,                 0.7217,                0.46068,                0.93821,                 0.9996,                      1,                  0.995,                0.72871,                0.88316,                0.44374,                 1.0368,              0.0017822,              0.0017822,              0.0017822
                     13,                0.68954,                0.44767,                0.93097,                 0.9994,                      1,                  0.995,                0.73861,                0.93239,                0.41557,                 1.0875,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.7003,                0.44175,                0.93258,                 0.9997,                      1,                  0.995,                0.74089,                0.91435,                0.41703,                 1.0648,              0.0017426,              0.0017426,              0.0017426
                     15,                0.69134,                 0.4383,                0.92255,                0.99586,                      1,                0.99428,                0.72329,                0.91096,                0.41961,                 1.0592,              0.0017228,              0.0017228,              0.0017228
                     16,                0.68925,                0.43893,                0.92989,                0.99936,                      1,                  0.995,                0.73173,                0.91139,                0.40343,                 1.0696,               0.001703,               0.001703,               0.001703
                     17,                0.68185,                0.43013,                0.92384,                0.99928,                      1,                  0.995,                0.73971,                 0.9062,                0.40832,                 1.0495,              0.0016832,              0.0016832,              0.0016832
                     18,                0.67442,                0.42296,                0.92151,                0.99949,                      1,                  0.995,                0.74603,                0.90014,                0.41557,                 1.0495,              0.0016634,              0.0016634,              0.0016634
                     19,                0.66948,                0.42639,                0.92253,                0.99654,                      1,                  0.995,                0.73032,                0.89641,                0.41207,                 1.0648,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.6472,                0.40609,                0.91363,                0.99932,                      1,                  0.995,                  0.756,                0.90792,                0.38932,                  1.058,              0.0016238,              0.0016238,              0.0016238
                     21,                0.65486,                0.40726,                0.91377,                0.99873,                      1,                  0.995,                0.73434,                0.89484,                0.40392,                 1.0567,               0.001604,               0.001604,               0.001604
                     22,                0.63948,                0.40633,                0.91199,                0.99972,                      1,                  0.995,                0.75022,                0.90554,                0.37242,                 1.0564,              0.0015842,              0.0015842,              0.0015842
                     23,                0.62998,                0.39448,                 0.9095,                0.99971,                      1,                  0.995,                0.76575,                0.89027,                 0.3919,                 1.0443,              0.0015644,              0.0015644,              0.0015644
                     24,                0.63074,                0.40011,                0.90894,                 0.9995,                      1,                  0.995,                0.76348,                0.89487,                0.38281,                 1.0478,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.6124,                0.39011,                0.90417,                0.99893,                      1,                  0.995,                0.72888,                0.92098,                0.39955,                 1.0649,              0.0015248,              0.0015248,              0.0015248
                     26,                0.62654,                0.39966,                0.90707,                0.99977,                      1,                  0.995,                0.74597,                0.92169,                0.40271,                 1.0576,               0.001505,               0.001505,               0.001505
                     27,                0.59803,                0.37886,                0.89968,                0.99972,                      1,                  0.995,                0.72904,                0.93471,                0.40119,                 1.0735,              0.0014852,              0.0014852,              0.0014852
                     28,                0.61514,                0.38359,                0.90293,                0.99962,                      1,                  0.995,                0.72529,                0.91415,                0.38649,                  1.067,              0.0014654,              0.0014654,              0.0014654
